City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Waipawa,-41.4122,175.5153,52.56,63,91,13.4,NZ,overcast clouds
80,Sao Joao Da Barra,-21.6403,-41.0511,75.18,85,100,6.15,BR,overcast clouds
81,Iqaluit,63.7506,-68.5145,1.13,70,20,19.57,CA,few clouds
82,Ranong,9.9658,98.6348,84.13,61,72,2.26,TH,broken clouds
83,Taoudenni,22.6783,-3.9836,78.15,15,0,11.63,ML,clear sky
84,Chesma,53.8111,60.6533,37.53,92,100,18.59,RU,overcast clouds
85,Grenville,12.1167,-61.6167,78.82,80,42,17.94,GD,scattered clouds
86,Garmsar,35.2182,52.3409,67.53,20,98,1.03,IR,overcast clouds
87,Dalby,-27.1833,151.2667,74.75,54,82,13.47,AU,broken clouds
88,Aykhal,66.0,111.5,16.95,93,100,24.58,RU,light snow
89,Iskateley,67.6803,53.1512,5.41,94,62,8.61,RU,broken clouds
90,Havre-Saint-Pierre,50.2334,-63.5986,37.76,75,100,5.75,CA,overcast clouds
91,Tilichiki,60.4667,166.1,15.98,64,0,5.44,RU,clear sky
92,Carnarvon,-24.8667,113.6333,86.07,62,14,10.36,AU,few clouds
93,Narsaq,60.9167,-46.05,32.22,91,100,1.45,GL,overcast clouds
94,Wanning,18.8003,110.3967,77.94,54,65,10.31,CN,broken clouds
95,Palana,59.1167,159.9667,27.48,85,100,6.44,RU,overcast clouds
96,Grand Gaube,-20.0064,57.6608,75.6,83,82,3.0,MU,broken clouds
97,San Andres,12.5847,-81.7006,82.42,78,75,11.5,CO,broken clouds
98,Jamestown,42.097,-79.2353,54.99,76,100,9.22,US,moderate rain
99,Sakakah,29.9697,40.2064,67.57,26,25,16.4,SA,scattered clouds
100,Georgetown,5.4112,100.3354,84.13,87,20,5.99,MY,few clouds
101,Tabou,4.423,-7.3528,79.11,86,66,3.98,CI,light rain
102,Dingle,10.9995,122.6711,80.58,81,100,11.59,PH,overcast clouds
103,Pitimbu,-7.4706,-34.8086,75.79,82,90,6.4,BR,overcast clouds
104,Aksarka,66.5606,67.7975,15.8,84,100,3.8,RU,overcast clouds
105,Nome,64.5011,-165.4064,5.07,72,100,4.61,US,overcast clouds
106,Port Alfred,-33.5906,26.891,57.18,72,53,8.01,ZA,broken clouds
107,Puerto Madryn,-42.7692,-65.0385,56.68,81,90,17.54,AR,overcast clouds
108,San Ignacio,17.1561,-89.0714,86.14,70,0,4.61,BZ,clear sky
109,Mpulungu,-8.7623,31.1141,70.68,77,97,4.0,ZM,overcast clouds
110,Hilo,19.7297,-155.09,71.33,90,100,6.91,US,moderate rain
111,Goure,13.9835,10.2704,80.49,7,36,8.46,NE,scattered clouds
112,Mopti,14.6667,-4.0,87.84,11,51,4.12,ML,broken clouds
113,Touros,-5.1989,-35.4608,78.73,80,72,9.08,BR,broken clouds
114,Arraial Do Cabo,-22.9661,-42.0278,75.06,84,16,8.32,BR,few clouds
115,Misratah,32.3754,15.0925,61.25,90,3,24.43,LY,clear sky
116,Dikson,73.5069,80.5464,-0.17,99,100,14.29,RU,overcast clouds
117,Hudiksvall,61.729,17.1036,27.73,77,48,3.36,SE,scattered clouds
118,Carleton Place,45.1334,-76.1494,47.98,59,100,8.01,CA,overcast clouds
119,Lindi,-10.0,39.7167,77.16,91,94,0.54,TZ,overcast clouds
120,Cabedelo,-6.9811,-34.8339,75.87,82,46,7.45,BR,scattered clouds
121,Mangrol,21.1167,70.1167,83.32,54,44,10.78,IN,scattered clouds
122,Borjomi,41.8527,43.4128,40.84,92,60,4.65,GE,broken clouds
123,Saint-Joseph,-21.3667,55.6167,75.58,77,37,12.5,RE,scattered clouds
124,Zhangye,38.9342,100.4517,66.16,13,0,4.45,CN,clear sky
125,Kutum,14.2,24.6667,74.07,14,5,11.01,SD,clear sky
126,Najran,17.4924,44.1277,57.85,13,0,3.06,SA,clear sky
127,Jalu,29.0331,21.5482,85.86,8,5,12.77,LY,clear sky
128,Lexington,37.9887,-84.4777,51.8,88,100,5.75,US,overcast clouds
129,Cidreira,-30.1811,-50.2056,68.63,80,13,14.03,BR,few clouds
130,Lorengau,-2.0226,147.2712,81.03,84,100,9.22,PG,overcast clouds
131,Port Lincoln,-34.7333,135.8667,64.54,61,6,13.58,AU,clear sky
132,Tawang,27.5833,91.8667,52.79,76,92,3.6,IN,overcast clouds
133,Carauari,-4.8828,-66.8958,72.16,97,37,0.63,BR,scattered clouds
134,Mahebourg,-20.4081,57.7,75.49,78,40,3.44,MU,scattered clouds
135,Karagay,58.2667,54.9368,32.13,88,100,13.94,RU,light snow
136,Port Blair,11.6667,92.75,78.84,89,100,3.44,IN,thunderstorm
137,Fenyi,27.8112,114.6681,77.07,46,0,2.64,CN,clear sky
138,Merritt Island,28.5392,-80.672,80.04,77,0,9.22,US,clear sky
139,Qaanaaq,77.484,-69.3632,-0.35,93,95,6.87,GL,overcast clouds
140,Svetlogorsk,52.6333,29.7333,43.72,93,100,10.49,BY,overcast clouds
141,Garowe,8.4054,48.4845,66.67,94,1,6.17,SO,clear sky
142,Samarkand,39.6542,66.9597,62.02,67,20,2.3,UZ,few clouds
143,Itupiranga,-5.1347,-49.3267,73.38,98,100,2.08,BR,overcast clouds
144,Klaksvik,62.2266,-6.589,34.72,75,100,43.22,FO,overcast clouds
145,Krasnyy Chikoy,50.3643,108.7512,50.58,58,48,4.5,RU,scattered clouds
146,Syracuse,37.0881,15.2792,56.79,77,5,19.64,IT,clear sky
147,Pangnirtung,66.1451,-65.7125,0.14,82,9,5.44,CA,clear sky
148,Nikolskoye,59.7035,30.7861,29.88,86,100,7.34,RU,overcast clouds
