City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
246,Robertsport,LR,76.15,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
247,Rosita,NI,74.75,overcast clouds,13.9268,-84.4032,Hospedaje Zeledón
248,Mahibadhoo,MV,83.12,clear sky,3.7833,72.9667,Omadhoo Inn
249,Matara,LK,79.9,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
252,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
255,Kalabo,ZM,65.05,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
256,Hamilton,US,50.63,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
257,Mangai,CD,71.15,overcast clouds,-4.05,19.5333,
258,Richards Bay,ZA,71.76,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
260,Aswan,EG,79.9,clear sky,24.0934,32.907,Nuba Nile
261,Imbituba,BR,73.81,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
263,Xinpu,CN,62.55,clear sky,34.5997,119.1594,Pattaya Leisure Hotel
264,Alofi,NU,84.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
265,Goma,CD,62.78,overcast clouds,-1.6792,29.2228,"Goma, CENTRE D'ACCUEIL CARITAS"
266,Yining,CN,78.69,clear sky,29.0361,114.5636,Xiushui Hotel
267,Hasaki,JP,61.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
268,Tacoronte,ES,54.16,broken clouds,28.4769,-16.4102,Casa Laurel
269,Daru,PG,85.66,scattered clouds,-9.0763,143.2092,Daru Lodge
270,Sayhat,SA,68.2,broken clouds,26.4852,50.0405,OYO 426 Royal Al Khaleej Furnished Apartments
271,Fayaoue,NC,80.94,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
272,San Vicente,AR,66.4,light rain,-26.6167,-54.1333,Complejo Turístico Farelluk
273,Winnemucca,US,59.05,clear sky,40.973,-117.7357,Winners Inn Casino
274,Quatre Cocos,MU,75.31,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
275,Viransehir,TR,57.02,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
276,Mount Gambier,AU,67.91,overcast clouds,-37.8333,140.7667,The Commodore
277,Kavieng,PG,82.51,light rain,-2.5744,150.7967,Nusa Island Retreat
